2_theta_1,intensity_1,2_theta_2,intensity_2,2_theta_3,intensity_3,material_name,material_formula
32.17,100,42.19,50,15.00,50,Berndtite,SnS2
32.17,100,40.68,90,53.18,70,Malinkoite,NaBSiO4
32.17,100,34.88,90,52.39,80,Pyrophanite,MnTiO3
32.17,100,34.74,80,23.52,80,Burkeite,Na6(CO3)(SO4)2
32.17,100,34.60,50,38.61,40,Jimboite,Mn3B2O6
32.17,100,30.17,80,15.84,65,Hinsdalite,"(Pb,Sr)Al3(PO4)(SO4)(OH)6"
32.17,100,28.49,50,22.09,50,Tritomite-(Y),"(Y,Ca,La,Fe++)5(Si,B,Al)3(O,OH,F)13 (?)"
32.17,100,27.84,40,34.32,40,Yazganite,"NaFe+++2(Mg,Mn)(AsO4)3•H2O"
32.17,100,24.03,90,14.46,90,Tarbuttite,Zn2(PO4)(OH)
32.17,100,20.30,80,18.91,80,Phosphosiderite,Fe+++PO4•2(H2O)
32.17,100,10.59,90,52.88,80,Nanlingite,CaMg4(AsO3)2F4
32.17,100,53.18,90,38.78,70,Malinkoite,NaBSiO4
32.17,100,27.86,80,29.06,80,Roselite-beta,"Ca2(Co,Mg)(AsO4)2•2(H2O)"
32.17,100,18.91,80,20.30,80,Phosphosiderite,Fe+++PO4•2(H2O)
32.17,100,23.52,80,34.74,80,Burkeite,Na6(CO3)(SO4)2
32.17,100,22.09,50,28.49,50,Tritomite-(Y),"(Y,Ca,La,Fe++)5(Si,B,Al)3(O,OH,F)13 (?)"
32.17,100,34.32,40,27.84,40,Yazganite,"NaFe+++2(Mg,Mn)(AsO4)3•H2O"
32.17,100,27.86,80,53.41,80,Roselite-beta,"Ca2(Co,Mg)(AsO4)2•2(H2O)"
32.17,100,25.73,50,46.79,50,Cappelenite-(Y),"Ba(Y,Ce)6Si3B6O24F2"
32.17,100,15.00,50,42.19,50,Berndtite,SnS2
32.17,100,14.46,90,24.03,90,Tarbuttite,Zn2(PO4)(OH)
32.17,100,32.90,100,29.16,80,Tundrite-(Ce),Na2Ce2TiO2(SiO4)(CO3)2
32.17,100,34.33,100,23.52,100,Hanksite,KNa22(SO4)9(CO3)2Cl
32.17,100,46.58,100,25.96,75,Bastnasite-(Y),Y(CO3)F
32.16,100,28.97,80,32.53,70,Gaitite,Ca2Zn(AsO4)2•2(H2O)
32.15,100,23.70,81,31.07,77,Catalanoite,Na2H(PO4)• 8(H2O)
32.14,100,29.76,68,30.27,63,Byelorussite-(Ce),"NaBa2(Ce,La)2Mn++Ti2Si8O26(F,OH)•(H2O)"
32.14,100,19.03,73,28.05,51,Thenardite,Na2SO4
32.14,100,32.36,100,32.74,100,Rheniite,ReS2
32.10,100,24.71,90,59.22,50,Bicchulite,Ca2Al2SiO6(OH)2
32.09,100,33.81,100,29.06,90,Hatrurite,Ca3SiO5
32.08,100,22.53,70,39.56,65,Shandite,Pb2Ni3S2
32.07,100,54.41,80,27.77,80,Fukuchilite,Cu3FeS8
32.07,100,27.77,80,54.41,80,Fukuchilite,Cu3FeS8
32.05,100,52.75,80,24.78,60,Siderite,Fe++CO3
32.05,100,39.13,60,37.60,60,Hauchecornite,"Ni9Bi(Sb,Bi)S8"
32.05,100,35.02,80,24.64,80,Phosgenite,Pb2(CO3)Cl2
32.05,100,26.27,50,22.09,30,IMA2009-002,Cu3(AsO4)2
32.05,100,25.28,80,24.16,70,Galeite,Na15(SO4)5F4Cl
32.05,100,22.21,80,21.39,80,Vladimirite,Ca5(AsO3OH)2(AsO4)2•5(H2O)
32.05,100,37.60,60,39.13,60,Hauchecornite,"Ni9Bi(Sb,Bi)S8"
32.05,100,24.64,80,35.02,80,Phosgenite,Pb2(CO3)Cl2
32.05,100,21.39,80,22.21,80,Vladimirite,Ca5(AsO3OH)2(AsO4)2•5(H2O)
32.02,100,66.82,70,31.58,25,Herzenbergite,SnS
32.02,100,25.50,90,23.97,90,Kuliokite-(Y),"(Y,REE)4Al(SiO4)2(OH)2F5"
32.02,100,23.97,90,25.50,90,Kuliokite-(Y),"(Y,REE)4Al(SiO4)2(OH)2F5"
32.01,100,29.70,80,29.47,80,Brenkite,Ca2(CO3)F2
32.01,100,29.47,80,29.70,80,Brenkite,Ca2(CO3)F2
31.99,100,32.61,95,32.17,90,Larnite,Ca2SiO4
31.99,100,31.07,90,27.08,90,Keyite,"Cu++3(Zn,Cu)4Cd2(AsO4)6•2(H2O)"
31.99,100,27.08,90,31.07,90,Keyite,"Cu++3(Zn,Cu)4Cd2(AsO4)6•2(H2O)"
31.98,100,28.41,65,25.88,65,Axinite-(Mg),Ca2MgAl2BO3Si4O12(OH)
31.98,100,25.88,65,28.41,65,Axinite-(Mg),Ca2MgAl2BO3Si4O12(OH)
31.97,100,25.88,80,13.47,80,Natrochalcite,NaCu2(SO4)2(OH)•(H2O)
31.97,100,8.95,96,25.80,90,Nabalamprophyllite,"Ba(Na,Ba){Na3Ti[Ti2O2Si4O14](OH,F)2}"
31.97,100,13.47,80,25.88,80,Natrochalcite,NaCu2(SO4)2(OH)•(H2O)
31.96,100,31.46,88,28.24,80,Baumstarkite,"Ag3(Sb,As)2SbS6"
31.96,100,28.24,88,25.99,80,Baumstarkite,"Ag3(Sb,As)2SbS6"
31.95,100,33.46,80,25.70,77,Colimaite,K3VS4
31.95,100,29.31,100,28.84,80,Clinokurchatovite,"Ca(Mg,Fe++,Mn)B2O5"
31.94,100,46.66,30,23.97,30,Nadorite,PbSbO2Cl
31.94,100,38.89,60,37.36,50,Tellurohauchecornite,Ni9BiTeS8
31.94,100,35.02,90,54.94,80,Manganberzeliite,"(Ca,Na)3(Mn,Mg)2(AsO4)3"
31.94,100,33.13,60,32.27,55,Apatite-(CaF),Ca5(PO4)3F
31.94,100,29.76,90,28.77,90,Yuksporite,"(Sr,Ba)2K4(Ca,Na)14([ ],Mn,Fe){(Ti,Nb)4(O,OH)4[Si6O17]2[Si2O7]3}(H2O,OH)n, n~3"
31.94,-,28.68,-,22.04,-,Suolunite,Ca2Si2O5(OH)2•(H2O)
31.94,100,25.06,100,9.71,60,Synchysite-(Ce),CaCe(CO3)2F
31.94,100,23.39,100,15.13,35,Bazirite,BaZrSi3O9
31.94,100,15.87,67,30.27,17,Orthojoaquinite-(La),"Ba2Na(La,Ce)2Fe++Ti2Si8O26(OH,O,F)•H2O"
31.94,100,15.87,70,30.27,18,Joaquinite-(Ce),"NaFe++Ba2Ce2(Ti,Nb)2[Si4O12]2O2(OH,F)•(H2O)"
31.94,100,23.97,30,46.66,30,Nadorite,PbSbO2Cl
31.94,100,28.77,90,29.76,90,Yuksporite,"(Sr,Ba)2K4(Ca,Na)14([ ],Mn,Fe){(Ti,Nb)4(O,OH)4[Si6O17]2[Si2O7]3}(H2O,OH)n, n~3"
31.94,100,49.04,100,25.43,100,Plattnerite,PbO2
31.92,100,32.09,80,12.10,80,Ponomarevite,K4Cu++4OCl10
31.92,100,31.81,100,13.45,90,Vitusite-(Ce),"Na3(Ce,La,Nd)(PO4)2"
31.92,100,30.09,72,29.75,48,Strontiojoaquinite,"(Na,Fe++)2Ba2Sr2Ti2[Si4O12]2(O,OH)2•(H2O)"
31.92,100,30.09,72,29.75,48,Strontio-orthojoaquinite,"(Na,Fe++)2Ba2Sr2Ti2[Si4O12]2(O,OH)2•(H2O)"
31.92,100,12.10,80,32.09,80,Ponomarevite,K4Cu++4OCl10
31.92,100,33.97,100,28.12,100,Austinite,CaZn(AsO4)(OH)
31.90,100,35.05,60,28.47,55,Palenzonaite,"(Ca,Na)3Mn++(V+++++,As+++++,Si)3O12"
31.90,100,32.90,70,23.14,55,Nahpoite,Na2HPO4
31.88,100,33.11,80,43.78,60,Mattagamite,CoTe2
31.87,100,51.72,80,34.29,80,Melanostibite,"Mn(Sb+++++,Fe+++)O3"
31.87,100,34.29,80,51.72,80,Melanostibite,"Mn(Sb+++++,Fe+++)O3"
31.85,100,26.31,95,28.61,90,Dansite,Na21Mg(SO4)10Cl3
31.85,100,24.10,97,24.43,95,Kudriavite,"(Cd,Pb)Bi2S4"
31.83,100,29.48,100,28.70,100,Calciocopiapite,CaFe+++4(SO4)6(OH)2•19(H2O)
31.83,100,9.41,90,30.59,70,Lunokite,"(Mn,Ca)(Mg,Fe++,Mn)Al(PO4)2(OH)•4(H2O)"
31.83,100,28.70,100,29.48,100,Calciocopiapite,CaFe+++4(SO4)6(OH)2•19(H2O)
31.82,100,25.88,40,49.50,40,Tritomite-(Ce),"(Ce,La,Ca,Y,Th)5(Si,B)3(O,OH,F)13"
31.82,100,25.88,40,49.50,40,Melanocerite-(Ce),"(Ce,Th,Ca)5(Si,B)3O12(OH,F)•n(H2O) (?)"
31.82,100,16.81,40,37.12,40,Childrenite,Fe++Al(PO4)(OH)2•(H2O)
31.82,100,16.81,40,37.12,40,Eosphorite,MnAl(PO4)(OH)2•(H2O)
31.82,100,64.83,60,43.80,50,Reidite,ZrSiO4
31.82,100,49.79,100,28.87,100,Plombierite,Ca5H2Si6O18•6H2O
31.82,100,52.07,60,64.83,50,Reidite,ZrSiO4
31.82,100,49.50,40,25.88,40,Melanocerite-(Ce),"(Ce,Th,Ca)5(Si,B)3O12(OH,F)•n(H2O) (?)"
31.82,100,49.50,40,25.88,40,Tritomite-(Ce),"(Ce,La,Ca,Y,Th)5(Si,B)3(O,OH,F)13"
31.82,100,37.12,40,16.81,40,Eosphorite,MnAl(PO4)(OH)2•(H2O)
31.82,100,37.12,40,16.81,40,Childrenite,Fe++Al(PO4)(OH)2•(H2O)
31.82,100,34.60,90,44.60,80,Seinajokite,"(Fe,Ni)(Sb,As)2"
31.82,100,33.03,70,43.69,50,Frohbergite,FeTe2
31.82,100,32.53,90,32.78,80,Britholite-(Y),"(Y,Ca)5(SiO4,PO4)3(OH,F)"
31.82,100,29.26,80,11.62,50,Olshanskyite,Ca2[B3O3(OH)6]OH•3(H2O)
31.81,100,30.59,80,21.39,80,Zabuyelite,Li2CO3
31.81,100,28.87,80,24.64,70,Parabrandtite,Ca2Mn++(AsO4)•2(H2O)
31.81,100,21.39,80,30.59,80,Zabuyelite,Li2CO3
31.81,100,31.92,100,13.45,90,Vitusite-(Ce),"Na3(Ce,La,Nd)(PO4)2"
31.80,100,30.19,100,29.70,100,Kombatite,Pb14(VO4)2O9Cl4
31.80,100,29.86,100,29.06,100,Jeppeite,"(K,Ba)2(Ti,Fe+++)6O13"
31.80,100,28.47,100,27.36,100,Kornite,"Na(CaNa)Fe++4(Al,Fe+++)Si7AlO22(OH)2"
31.80,100,28.22,90,25.73,80,Axinite-(Fe),Ca2Fe++Al2BO3Si4O12(OH)
31.80,100,25.73,80,14.05,70,Tinzenite,"(Ca,Mn,Fe)3Al2BO3Si4O12(OH)"
31.80,100,29.70,100,30.19,100,Kombatite,Pb14(VO4)2O9Cl4
31.80,100,29.06,100,29.86,100,Jeppeite,"(K,Ba)2(Ti,Fe+++)6O13"
31.80,100,27.36,100,28.47,100,Kornite,"Na(CaNa)Fe++4(Al,Fe+++)Si7AlO22(OH)2"
31.78,100,47.94,75,29.28,65,Covellite,CuS
31.78,100,15.73,90,31.25,70,Criddleite,TlAg2Au3Sb10S10
31.77,100,32.90,60,32.20,60,Apatite-(CaOH),Ca5(PO4)3(OH)
31.77,100,29.58,70,24.43,65,Fillowite,"Na2Ca(Mn,Fe++)7(PO4)6"
31.77,100,28.99,100,24.50,90,Gillulyite,"Tl2(As,Sb)8S13"
31.77,100,32.20,60,32.90,60,Apatite-(CaOH),Ca5(PO4)3(OH)
31.75,100,35.31,100,25.22,100,Junitoite,CaZn2Si2O7•(H2O)
31.74,100,23.73,80,35.82,80,Stanfieldite,"Ca4(Mg,Fe++,Mn)5(PO4)6"
31.74,100,35.82,80,23.73,80,Stanfieldite,"Ca4(Mg,Fe++,Mn)5(PO4)6"
31.74,100,20.35,80,34.55,70,Weloganite,Sr3Na2Zr(CO3)6•3(H2O)
31.73,100,24.37,90,52.42,80,Tusionite,MnSn++++(BO3)2
31.72,100,28.99,80,27.78,60,Joosteite,"(Mn++,Mn+++,Fe+++)2(PO4)O"
31.70,100,59.64,60,47.30,50,Melonite,NiTe2
31.70,100,46.16,30,31.14,30,Sergeevite,Ca2Mg11(CO3)9(HCO3)4(OH)4•6(H2O)
31.70,100,36.65,38,62.49,33,Cleusonite,"Pb(U++++,U++++++)(Ti,Fe++,Fe+++)20(O,OH)38"
31.70,100,34.88,70,31.03,70,Sursassite,Mn++2Al3(SiO4)(Si2O7)(OH)3
31.70,100,31.14,80,14.25,80,Warikahnite,Zn3(AsO4)2•2(H2O)
31.70,100,29.65,90,14.68,55,Rhabdophane-(Ce),"(Ce,La)PO4•(H2O)"
31.70,100,28.59,100,22.15,80,Mcbirneyite,Cu3(VO4)2
31.70,100,27.77,80,32.90,60,Smithite,AgAsS2
31.70,100,27.68,40,46.79,30,Aramayoite,"Ag3Sb2(Sb,Bi)S6"
31.70,100,27.51,90,26.43,90,Borodaevite,"Ag5(Bi,Sb)9S16"
31.70,100,27.25,70,46.26,60,Schirmerite,Ag3Pb3Bi9S18 to Ag3Pb6Bi7S18
31.70,100,25.88,90,42.67,50,Trimounsite-(Y),"(Y,REE)2Ti2SiO9"
31.70,100,25.88,100,30.70,100,Franckeite,"(Pb,Sn)6Fe++Sn2Sb2S14"
31.70,100,17.72,100,16.40,100,Atacamite,Cu2Cl(OH)3
31.70,100,31.14,30,46.16,30,Sergeevite,Ca2Mg11(CO3)9(HCO3)4(OH)4•6(H2O)
31.70,100,31.03,70,34.88,70,Sursassite,Mn++2Al3(SiO4)(Si2O7)(OH)3
31.70,100,14.25,80,31.14,80,Warikahnite,Zn3(AsO4)2•2(H2O)
31.70,100,26.43,90,27.51,90,Borodaevite,"Ag5(Bi,Sb)9S16"
31.70,100,30.70,100,25.88,100,Franckeite,"(Pb,Sn)6Fe++Sn2Sb2S14"
31.70,100,16.40,100,17.72,100,Atacamite,Cu2Cl(OH)3
31.70,100,47.30,60,43.92,50,Melonite,NiTe2
31.70,100,31.14,30,24.85,30,Sergeevite,Ca2Mg11(CO3)9(HCO3)4(OH)4•6(H2O)
31.70,100,30.70,100,31.25,100,Franckeite,"(Pb,Sn)6Fe++Sn2Sb2S14"
31.69,100,45.45,55,56.48,15,Halite,NaCl
31.69,100,35.15,80,31.87,70,Dellaite,Ca6Si3O11(OH)2
31.69,100,29.89,64,28.43,33,Pyrophosphite,K2CaP2O7
31.69,100,24.57,75,28.77,65,Cascandite,"Ca(Sc,Fe++)Si3O8(OH)"
31.68,100,26.48,50,28.61,27,Sicherite,"TlAg2(As,Sb)3S6"
31.67,100,24.80,86,32.20,84,Jentschite,TlPbAs2SbS6
31.66,100,29.45,80,32.85,60,Killalaite,2Ca3Si2O7•(H2O)
31.65,100,47.70,98,34.76,81,Milotaite,PdSbSe
31.65,100,30.17,100,12.39,80,Alluaivite,"Na19(Ca,Mn++)6(Ti,Nb)3(Si3O9)2(Si10O28)2Cl•2(H2O)"
31.63,100,34.44,56,38.54,33,Natroxalate,Na2C2O4
31.63,100,32.23,58,32.69,46,IMA2009-005,"(Y,Ca,REE)5[(Si,P)O4]3F"
31.62,100,27.00,80,44.60,60,Matildite,AgBiS2
31.62,100,49.10,100,29.61,100,Saryarkite-(Y),"Ca(Y,Th)Al5(SiO4)2(PO4,SO4)2(OH)7•6(H2O)"
31.61,100,9.49,90,16.59,60,Segelerite,CaMgFe+++(PO4)2(OH)•4(H2O)
31.60,100,39.67,90,35.44,71,Mineevite-(Y),"Na25Ba(Y,Gd,Dy)2(HCO3)4(CO3)11(SO4)2ClF2"
31.60,100,31.52,80,36.84,50,Ernstite,(Mn++1-xFe+++x)Al(PO4)(OH)2-xOx
31.59,100,54.94,80,38.10,70,Linnaeite,Co++Co+++2S4
31.59,100,53.55,80,89.93,60,Vaesite,NiS2
31.59,100,51.35,90,49.50,80,Lomonosovite,Na5Ti2O2(Si2O7)(PO4)
31.59,100,42.82,90,51.28,80,Landauite,"NaMnZn2(Ti,Fe+++)6Ti12O38"
31.59,100,37.12,90,30.59,80,Jadeite,"Na(Al,Fe+++)Si2O6"
31.59,100,33.41,60,54.13,50,Arseniopleite,"(Ca,Na)(Na,Pb)Mn++(Mn++,Mg,Fe++)2(AsO4)3"
31.59,100,32.53,80,28.31,70,Cafarsite,"Ca8(Ti,Fe++,Fe+++,Mn)6-7(As+++O3)12•4(H2O)"
31.59,100,31.42,30,45.09,28,Barioperovskite,BaTiO3
31.59,100,31.33,63,34.95,55,Ternesite,Ca5(SiO4)2SO4
31.59,100,29.86,100,42.19,50,Tristramite,"(Ca,U++++,Fe+++)(PO4,SO4)•2(H2O)"
31.59,100,29.16,70,42.61,60,Sinjarite,CaCl2•2(H2O)
31.59,100,28.68,100,35.31,90,Minasgeraisite-(Y),CaY2Be2Si2O10
31.59,100,28.49,100,35.02,90,Gadolinite-(Y),Y2Fe++Be2Si2O10
31.59,100,28.04,90,13.38,90,Afwillite,Ca3Si2O4(OH)6
31.59,100,27.33,90,45.35,80,Cuboargyrite,AgSbS
31.59,100,25.58,80,29.96,70,Freieslebenite,AgPbSbS3
31.59,100,33.15,100,29.16,100,Saneroite,"Na2(Mn++,Fe+++)10Si11V+++++O34(OH)4"
31.59,100,13.38,90,28.04,90,Afwillite,Ca3Si2O4(OH)6
31.59,100,54.13,60,29.86,50,Arseniopleite,"(Ca,Na)(Na,Pb)Mn++(Mn++,Mg,Fe++)2(AsO4)3"
31.58,-,56.36,-,45.30,-,Hapkeite,Fe2Si
31.58,-,56.36,-,65.96,-,Hapkeite,Fe2Si
31.58,-,45.30,-,56.36,-,Hapkeite,Fe2Si
31.58,100,35.88,70,34.94,50,Fayalite,Fe++2SiO4
31.58,100,29.28,70,22.72,60,Skinnerite,Cu3SbS3
31.58,100,32.33,100,19.20,90,Clearcreekite,Hg+3(CO3)(OH)•2(H2O)
31.57,100,27.49,42,34.26,35,Jasmundite,Ca11(SiO4)4O2S
31.57,100,25.48,100,21.39,90,Parapierrotite,"Tl(Sb,As)5S8"
31.57,100,9.40,80,16.75,60,Overite,CaMgAl(PO4)2(OH)•4(H2O)
31.55,100,45.98,30,30.94,20,Huntite,CaMg3(CO3)4
31.55,100,32.26,80,18.20,70,Laphamite,"As2(Se,S)3"
31.55,100,18.45,86,31.85,82,Hennomartinite,SrMn+++2Si2O7(OH)2•(H2O)
31.52,100,25.58,80,31.83,80,Britholite-(Ce),"(Ce,Ca,Th,La,Nd)5(SiO4,PO4)3(OH,F)"
31.52,100,22.13,35,45.16,29,Lakargiite,CaZrO3
31.52,100,31.83,80,25.58,80,Britholite-(Ce),"(Ce,Ca,Th,La,Nd)5(SiO4,PO4)3(OH,F)"
31.51,100,34.85,80,53.85,80,Whitlockite,"Ca9(Mg,Fe++)(PO4)6(PO3OH)"
31.51,100,53.85,80,34.85,80,Whitlockite,"Ca9(Mg,Fe++)(PO4)6(PO3OH)"
31.51,100,33.22,80,22.55,60,Pinchite,Hg++5O4Cl2
31.51,100,7.61,93,22.96,75,Tvedalite,"(Ca,Mn++)4Be3Si6O17(OH)4•3(H2O)"
31.50,100,34.70,80,24.84,80,Holdenite,"(Mn,Mg)6Zn3(AsO4)2(SiO4)(OH)8"
31.50,100,32.65,53,31.77,48,Fluorcaphite,"(Ca,Sr,Ce,Na)5(PO4)3F"
31.50,100,24.84,80,34.70,80,Holdenite,"(Mn,Mg)6Zn3(AsO4)2(SiO4)(OH)8"
31.49,100,31.55,90,32.15,90,Janhaugite,"(Na,Ca)3(Mn++,Fe++)3(Ti++++,Zr,Nb)2Si4O15(OH,F,O)3"
31.49,100,32.15,90,31.55,90,Janhaugite,"(Na,Ca)3(Mn++,Fe++)3(Ti++++,Zr,Nb)2Si4O15(OH,F,O)3"
31.49,100,30.16,91,7.76,43,Kentbrooksite,"(Na,REE)15(Ca,REE)6Mn++Zr3NbSi25O74F2•2(H2O)"
31.49,100,29.78,70,27.42,60,Wohlerite,"NaCa2(Zr,Nb)Si2O7(O,OH,F)2"
31.49,100,28.31,90,29.60,80,Grischunite,NaCa2Mn++5Fe+++(AsO4)6•2(H2O)
31.49,100,20.31,70,14.50,40,Donnayite-(Y),Sr3NaCaY(CO3)6•3(H2O)
31.49,100,32.24,100,22.41,60,Bario-olgite,"Na(Ba,Sr,Na,REE)PO4"
31.47,90,64.68,90,54.23,85,Romanite,"(Fe++,U,Pb)2(Ti,Fe+++)O4"
31.47,100,32.78,100,27.16,100,Semenovite,"(Na,Ca)9(Ce,La)2(Fe++,Mn)(Si,Be)20(O,OH,F)48"
31.47,100,43.04,70,59.18,70,Imgreite,NiTe
31.47,100,42.19,80,52.23,80,Beyerite,"(Ca,Pb)Bi2(CO3)2O2"
31.47,100,24.30,35,51.81,35,Rhodochrosite,MnCO3
31.47,100,28.59,40,32.50,40,Deloneite-(Ce),NaCa2SrCe(PO4)3F
31.47,100,28.59,80,28.68,80,Hingganite-(Y),Y2([ ])Be2Si2O8(OH)2
31.47,100,49.21,60,31.94,50,Ellestadite-(OH),"Ca5(SiO4,SO4)3(OH,Cl,F)"
31.47,100,59.18,70,43.04,70,Imgreite,NiTe
31.47,100,52.23,80,42.19,80,Beyerite,"(Ca,Pb)Bi2(CO3)2O2"
31.47,100,51.81,35,24.30,35,Rhodochrosite,MnCO3
31.47,100,33.15,40,24.30,35,Heliophyllite,Pb6As2O7Cl4
31.47,100,32.65,60,49.21,50,Ellestadite-(OH),"Ca5(SiO4,SO4)3(OH,Cl,F)"
31.47,100,32.65,90,49.15,80,Ellestadite-(F),"Ca5(SiO4,PO4,SO4)3(F,OH,Cl)"
31.47,100,32.50,40,28.59,40,Deloneite-(Ce),NaCa2SrCe(PO4)3F
31.47,100,29.96,85,27.59,80,Baghdadite,"Ca3(Zr,Ti)Si2O9"
31.47,100,28.68,80,28.59,80,Hingganite-(Y),Y2([ ])Be2Si2O8(OH)2
31.47,100,28.59,100,31.47,85,Calcybeborosilite-(Y),"(REE,Ca)2[ ](B,Be)2(SiO4)2(OH,O)2"
31.47,100,24.37,90,39.49,70,Beryllonite,NaBePO4
31.47,100,21.98,100,15.51,80,IMA2007-047,Pb2[B5O9]Cl•0.5H2O
31.46,100,30.14,92,20.64,91,Ikranite,"(Na,H3O)15(Ca,Mn,REE)6Fe+++2Zr3([ ],Zr)([ ],Si)Si24O66(O,OH)6Cl•2-3H2O"
31.45,100,28.61,90,34.55,50,Conichalcite,CaCu(AsO4)(OH)
31.45,100,23.56,94,33.61,70,Carmichaelite,"(Ti,Cr,Fe)[O2-x(OH)x],x~0.5"
31.45,100,32.38,100,45.74,63,Olgite,"Na(Sr,Ba)PO4"
31.44,100,57.44,90,32.80,80,Macedonite,PbTiO3
31.42,100,48.65,40,31.68,40,Fluorbritholite-(Ce),"(Ca,Ce,La,Na)5(SiO4,PO4)3(OH,F)"
31.42,100,31.68,40,48.65,40,Fluorbritholite-(Ce),"(Ca,Ce,La,Na)5(SiO4,PO4)3(OH,F)"
31.41,100,45.00,70,55.88,21,Oldhamite,"(Ca,Mg,Fe)S"
31.41,100,28.88,86,34.01,84,Ciprianiite,"Ca4[(Th,U)(REE)]2(Al,[ ])2[Si4B4O22](OH,F)2"
31.40,100,21.45,100,12.39,100,Silinaite,NaLiSi2O5•2(H2O)
31.40,100,12.39,100,21.45,100,Silinaite,NaLiSi2O5•2(H2O)
31.38,100,30.05,78,20.64,53,Golyshevite,"(Na,Ca)10Ca9(Fe+++,Fe++)2Zr3NbSi25O72(CO3)(OH)3•H2O"
31.37,100,30.06,83,27.82,38,Carbokentbrooksite,"(Na,[ ])12(Na,Ce)3Ca6Mn3Zr3Nb(Si25O73)(OH)3(CO3)•H2O"
31.37,100,29.05,50,28.77,50,Foordite,"Sn++(Nb,Ta)2O6"
31.37,100,25.70,100,24.75,90,Pavonite,"(Ag,Cu)(Bi,Pb)3S5"
31.37,100,28.77,50,29.05,50,Foordite,"Sn++(Nb,Ta)2O6"
31.36,100,41.19,90,61.34,90,Barytolamprophyllite,"Ba2Na3(Fe+++,Ti)3(Si2O7)2(O,OH,F)4"
31.36,100,30.06,90,43.25,90,Aphthitalite,"(K,Na)3Na(SO4)2"
31.36,100,28.59,30,36.34,30,Magnussonite,"Mn++5As+++3O9(OH,Cl)"
31.36,100,27.95,60,34.74,60,Merrillite-(Ca),"(Ca,[ ])19Mg2(PO4)14"
31.36,100,27.95,60,34.74,60,Merrillite,Ca18Na2Mg2(PO4)14
31.36,100,27.95,60,34.74,60,Merrillite-(Y),Ca16Y2Mg2(PO4)14
31.36,100,24.30,80,32.90,80,Ecdemite,Pb6As+++2O7Cl4
31.36,100,24.50,50,25.54,50,Makovickyite,Ag1.5Bi5.5S9
31.36,100,58.27,100,65.03,100,Batisivite,"(Ti,V,Cr)14Ba[Si2O7]O22"
31.36,100,27.95,60,25.96,60,Merrillite-(Y),Ca16Y2Mg2(PO4)14
31.36,100,27.95,60,25.96,60,Merrillite-(Ca),"(Ca,[ ])19Mg2(PO4)14"
31.36,100,27.95,60,25.96,60,Merrillite,Ca18Na2Mg2(PO4)14
31.36,100,52.23,100,36.96,70,Gehlenite,Ca2Al(AlSi)O7
31.36,100,44.83,100,29.36,100,Marianoite,"Na2Ca4(Nb,Zr)2(Si2O7)2(O,F)4"
31.36,100,44.60,100,25.14,80,Thorbastnasite,"Th(Ca,Ce)(CO3)2F2•3(H2O)"
31.36,100,61.34,90,41.19,90,Barytolamprophyllite,"Ba2Na3(Fe+++,Ti)3(Si2O7)2(O,OH,F)4"
31.36,100,54.79,80,50.08,60,Violarite,Fe++Ni+++2S4
31.36,100,50.58,90,50.82,80,Godlevskite,"(Ni,Fe)9S8"
31.36,100,43.25,90,30.06,90,Aphthitalite,"(K,Na)3Na(SO4)2"
31.36,100,43.04,80,58.36,70,Shuangfengite,IrTe2
31.36,100,36.34,30,28.59,30,Magnussonite,"Mn++5As+++3O9(OH,Cl)"
31.36,100,34.74,60,27.95,60,Merrillite,Ca18Na2Mg2(PO4)14
31.36,100,34.74,60,27.95,60,Merrillite-(Ca),"(Ca,[ ])19Mg2(PO4)14"
31.36,100,34.74,60,27.95,60,Merrillite-(Y),Ca16Y2Mg2(PO4)14
31.36,100,32.90,80,24.30,80,Ecdemite,Pb6As+++2O7Cl4
31.36,100,31.47,80,28.87,50,Balyakinite,CuTeO3
31.36,100,28.97,80,19.49,40,Wittichenite,Cu3BiS3
31.36,100,28.49,86,35.02,46,Hingganite-(Ce),"(Ce,Ca)2([ ],Fe)Be2Si2O8[(OH),O]2"
31.36,100,28.49,100,34.85,80,Hingganite-(Yb),"(Yb,Y)2([ ])Be2Si2O8(OH)2"
31.36,100,28.31,70,32.17,60,Fluorcalciobritholite,"(Ca,REE)5[(Si,P)O4]3F"
31.36,100,25.54,50,24.50,50,Makovickyite,Ag1.5Bi5.5S9
31.36,100,23.08,80,14.83,60,Wadeite,K2ZrSi3O9
31.36,100,15.03,85,31.14,80,Natrolite,Na2[Al2Si3O10]•2(H2O)
31.35,100,25.98,80,25.14,80,Benjaminite,"(Ag,Cu)3(Bi,Pb)7S12"
31.35,100,25.14,80,25.98,80,Benjaminite,"(Ag,Cu)3(Bi,Pb)7S12"
31.34,100,53.31,40,35.19,30,Villamaninite,"(Cu,Ni,Co,Fe)S2"
31.33,100,44.97,80,27.08,80,Schapbachite,AgBiS2
31.33,100,33.48,73,27.98,43,Derbylite,"(Fe+++,Fe++,Ti)7Sb+++O13(OH)"
31.33,100,32.23,85,25.94,45,Aiolosite,Na4Bi(SO4)3Cl
31.33,100,30.02,86,20.59,66,Raslakite,"Na15Ca3Fe3(Na,Zr)3Zr3(Si,Nb)(Si25O73)(OH,H2O)3(Cl,OH)"
