Created as New Dataset,Sample 035 By whitece Date Monday, June 29 2020
cm-1,%T
3233.50,85.55
3233.00,85.53
3232.50,85.51
3232.00,85.49
3231.50,85.47
3231.00,85.46
3230.50,85.47
3230.00,85.49
3229.50,85.52
3229.00,85.54
3228.50,85.55
3228.00,85.55
3227.50,85.53
3227.00,85.51
3226.50,85.49
3226.00,85.46
3225.50,85.43
3225.00,85.42
3224.50,85.41
3224.00,85.41
3223.50,85.41
3223.00,85.41
3222.50,85.41
3222.00,85.42
3221.50,85.43
3221.00,85.42
3220.50,85.41
3220.00,85.40
3219.50,85.40
3219.00,85.39
3218.50,85.39
3218.00,85.38
3217.50,85.37
3217.00,85.36
3216.50,85.35
3216.00,85.33
3215.50,85.32
3215.00,85.33
3214.50,85.34
3214.00,85.34
3213.50,85.33
3213.00,85.31
3212.50,85.29
3212.00,85.28
3211.50,85.27
3211.00,85.27
3210.50,85.26
3210.00,85.26
3209.50,85.26
3209.00,85.26
3208.50,85.28
3208.00,85.28
3207.50,85.28
3207.00,85.27
3206.50,85.26
3206.00,85.24
3205.50,85.22
3205.00,85.20
3204.50,85.18
3204.00,85.17
3203.50,85.16
3203.00,85.16
3202.50,85.18
3202.00,85.19
3201.50,85.20
3201.00,85.20
3200.50,85.19
3200.00,85.19
3199.50,85.18
3199.00,85.18
3198.50,85.18
3198.00,85.17
3197.50,85.16
3197.00,85.16
3196.50,85.15
3196.00,85.15
3195.50,85.14
3195.00,85.13
3194.50,85.13
3194.00,85.12
3193.50,85.11
3193.00,85.09
3192.50,85.07
3192.00,85.05
3191.50,85.05
3191.00,85.05
3190.50,85.05
3190.00,85.06
3189.50,85.06
3189.00,85.06
3188.50,85.05
3188.00,85.04
3187.50,85.03
3187.00,85.03
3186.50,85.02
3186.00,85.02
3185.50,85.02
3185.00,85.01
3184.50,85.00
3184.00,84.99
3183.50,84.98
3183.00,84.98
3182.50,84.98
3182.00,84.98
3181.50,84.98
3181.00,84.98
3180.50,84.97
3180.00,84.97
3179.50,84.97
3179.00,84.96
3178.50,84.96
3178.00,84.96
3177.50,84.96
3177.00,84.96
3176.50,84.97
3176.00,84.96
3175.50,84.95
3175.00,84.94
3174.50,84.94
3174.00,84.94
3173.50,84.93
3173.00,84.93
3172.50,84.92
3172.00,84.92
3171.50,84.91
3171.00,84.91
3170.50,84.91
3170.00,84.91
3169.50,84.90
3169.00,84.88
3168.50,84.87
3168.00,84.85
3167.50,84.84
3167.00,84.83
3166.50,84.82
3166.00,84.82
3165.50,84.82
3165.00,84.83
3164.50,84.82
3164.00,84.82
3163.50,84.81
3163.00,84.79
3162.50,84.78
3162.00,84.75
3161.50,84.74
3161.00,84.73
3160.50,84.74
3160.00,84.75
3159.50,84.76
3159.00,84.76
3158.50,84.74
3158.00,84.73
3157.50,84.73
3157.00,84.74
3156.50,84.75
3156.00,84.75
3155.50,84.74
3155.00,84.74
3154.50,84.73
3154.00,84.71
3153.50,84.69
3153.00,84.68
3152.50,84.67
3152.00,84.66
3151.50,84.65
3151.00,84.64
3150.50,84.63
3150.00,84.63
3149.50,84.63
3149.00,84.62
3148.50,84.62
3148.00,84.62
3147.50,84.62
3147.00,84.62
3146.50,84.62
3146.00,84.62
3145.50,84.62
3145.00,84.61
3144.50,84.60
3144.00,84.59
3143.50,84.59
3143.00,84.58
3142.50,84.57
3142.00,84.57
3141.50,84.58
3141.00,84.59
3140.50,84.59
3140.00,84.57
3139.50,84.55
3139.00,84.52
3138.50,84.50
3138.00,84.48
3137.50,84.47
3137.00,84.48
3136.50,84.49
3136.00,84.50
3135.50,84.50
3135.00,84.50
3134.50,84.49
3134.00,84.50
3133.50,84.51
3133.00,84.52
3132.50,84.52
3132.00,84.49
3131.50,84.46
3131.00,84.45
3130.50,84.44
3130.00,84.43
3129.50,84.42
3129.00,84.40
3128.50,84.39
3128.00,84.39
3127.50,84.40
3127.00,84.40
3126.50,84.39
3126.00,84.38
3125.50,84.36
3125.00,84.36
3124.50,84.36
3124.00,84.37
3123.50,84.38
3123.00,84.39
3122.50,84.38
3122.00,84.37
3121.50,84.35
3121.00,84.34
3120.50,84.33
3120.00,84.33
3119.50,84.33
3119.00,84.32
3118.50,84.31
3118.00,84.30
3117.50,84.30
3117.00,84.29
3116.50,84.29
3116.00,84.28
3115.50,84.28
3115.00,84.29
3114.50,84.29
3114.00,84.29
3113.50,84.27
3113.00,84.25
3112.50,84.24
3112.00,84.24
3111.50,84.24
3111.00,84.24
3110.50,84.22
3110.00,84.19
3109.50,84.17
3109.00,84.17
3108.50,84.18
3108.00,84.19
3107.50,84.20
3107.00,84.20
3106.50,84.19
3106.00,84.18
3105.50,84.17
3105.00,84.15
3104.50,84.12
3104.00,84.10
3103.50,84.08
3103.00,84.09
3102.50,84.11
3102.00,84.13
3101.50,84.14
3101.00,84.14
3100.50,84.13
3100.00,84.12
3099.50,84.10
3099.00,84.09
3098.50,84.08
3098.00,84.08
3097.50,84.08
3097.00,84.08
3096.50,84.06
3096.00,84.04
3095.50,84.02
3095.00,84.02
3094.50,84.03
3094.00,84.03
3093.50,84.04
3093.00,84.04
3092.50,84.04
3092.00,84.05
3091.50,84.05
3091.00,84.04
3090.50,84.03
3090.00,84.02
3089.50,84.01
3089.00,84.01
3088.50,84.01
3088.00,84.01
3087.50,84.01
3087.00,84.01
3086.50,84.02
3086.00,84.02
3085.50,84.02
3085.00,84.02
3084.50,84.00
3084.00,83.99
3083.50,83.98
3083.00,83.97
3082.50,83.96
3082.00,83.95
3081.50,83.94
3081.00,83.94
3080.50,83.95
3080.00,83.95
3079.50,83.95
3079.00,83.95
3078.50,83.94
3078.00,83.92
3077.50,83.91
3077.00,83.91
3076.50,83.91
3076.00,83.91
3075.50,83.91
3075.00,83.91
3074.50,83.91
3074.00,83.91
3073.50,83.91
3073.00,83.91
3072.50,83.90
3072.00,83.89
3071.50,83.88
3071.00,83.88
3070.50,83.87
3070.00,83.87
3069.50,83.88
3069.00,83.88
3068.50,83.87
3068.00,83.87
3067.50,83.87
3067.00,83.87
3066.50,83.87
3066.00,83.87
3065.50,83.87
3065.00,83.86
3064.50,83.85
3064.00,83.85
3063.50,83.85
3063.00,83.85
3062.50,83.84
3062.00,83.85
3061.50,83.85
3061.00,83.85
3060.50,83.83
3060.00,83.82
3059.50,83.80
3059.00,83.80
3058.50,83.81
3058.00,83.82
3057.50,83.82
3057.00,83.83
3056.50,83.84
3056.00,83.84
3055.50,83.83
3055.00,83.82
3054.50,83.80
3054.00,83.79
3053.50,83.78
3053.00,83.78
3052.50,83.78
3052.00,83.78
3051.50,83.79
3051.00,83.79
3050.50,83.78
3050.00,83.77
3049.50,83.77
3049.00,83.78
3048.50,83.80
3048.00,83.82
3047.50,83.83
3047.00,83.83
3046.50,83.81
3046.00,83.78
3045.50,83.76
3045.00,83.76
3044.50,83.78
3044.00,83.81
3043.50,83.82
3043.00,83.82
3042.50,83.81
3042.00,83.79
3041.50,83.77
3041.00,83.77
3040.50,83.78
3040.00,83.80
3039.50,83.81
3039.00,83.81
3038.50,83.80
3038.00,83.80
3037.50,83.80
3037.00,83.80
3036.50,83.79
3036.00,83.79
3035.50,83.79
3035.00,83.79
3034.50,83.78
3034.00,83.77
3033.50,83.77
3033.00,83.78
3032.50,83.80
3032.00,83.81
3031.50,83.81
3031.00,83.80
3030.50,83.79
3030.00,83.78
3029.50,83.78
3029.00,83.80
3028.50,83.81
3028.00,83.82
3027.50,83.83
3027.00,83.83
3026.50,83.82
3026.00,83.81
3025.50,83.79
3025.00,83.79
3024.50,83.80
3024.00,83.82
3023.50,83.82
3023.00,83.83
3022.50,83.83
3022.00,83.84
3021.50,83.85
3021.00,83.86
3020.50,83.86
3020.00,83.87
3019.50,83.87
3019.00,83.87
3018.50,83.86
3018.00,83.85
3017.50,83.85
3017.00,83.86
3016.50,83.88
3016.00,83.90
3015.50,83.92
3015.00,83.94
3014.50,83.95
3014.00,83.95
3013.50,83.95
3013.00,83.95
3012.50,83.95
3012.00,83.95
3011.50,83.95
3011.00,83.95
3010.50,83.96
3010.00,83.98
3009.50,83.98
3009.00,83.98
3008.50,83.99
3008.00,84.00
3007.50,84.01
3007.00,84.01
3006.50,84.01
3006.00,84.00
3005.50,84.00
3005.00,84.00
3004.50,84.01
3004.00,84.01
3003.50,84.02
3003.00,84.03
3002.50,84.04
3002.00,84.06
3001.50,84.08
3001.00,84.09
3000.50,84.09
3000.00,84.09
2999.50,84.09
2999.00,84.09
2998.50,84.10
2998.00,84.11
2997.50,84.12
2997.00,84.14
2996.50,84.16
2996.00,84.16
2995.50,84.16
2995.00,84.16
2994.50,84.16
2994.00,84.16
2993.50,84.16
2993.00,84.17
2992.50,84.19
2992.00,84.20
2991.50,84.22
2991.00,84.22
2990.50,84.22
2990.00,84.22
2989.50,84.22
2989.00,84.23
2988.50,84.25
2988.00,84.27
2987.50,84.28
2987.00,84.28
2986.50,84.28
2986.00,84.29
2985.50,84.31
2985.00,84.33
2984.50,84.34
2984.00,84.34
2983.50,84.34
2983.00,84.35
2982.50,84.36
2982.00,84.38
2981.50,84.40
2981.00,84.42
2980.50,84.44
2980.00,84.45
2979.50,84.45
2979.00,84.45
2978.50,84.44
2978.00,84.44
2977.50,84.45
2977.00,84.46
2976.50,84.47
2976.00,84.49
2975.50,84.50
2975.00,84.51
2974.50,84.52
2974.00,84.53
2973.50,84.54
2973.00,84.56
2972.50,84.58
2972.00,84.60
2971.50,84.63
2971.00,84.65
2970.50,84.66
2970.00,84.66
2969.50,84.66
2969.00,84.67
2968.50,84.68
2968.00,84.69
2967.50,84.70
2967.00,84.71
2966.50,84.71
2966.00,84.71
2965.50,84.72
2965.00,84.73
2964.50,84.73
2964.00,84.74
2963.50,84.75
2963.00,84.76
2962.50,84.78
2962.00,84.80
2961.50,84.82
2961.00,84.85
2960.50,84.86
2960.00,84.88
2959.50,84.89
2959.00,84.90
2958.50,84.91
2958.00,84.92
2957.50,84.93
2957.00,84.95
2956.50,84.95
2956.00,84.95
2955.50,84.96
2955.00,84.97
2954.50,85.00
2954.00,85.02
2953.50,85.04
2953.00,85.04
2952.50,85.04
2952.00,85.04
2951.50,85.04
2951.00,85.06
2950.50,85.08
2950.00,85.11
2949.50,85.13
2949.00,85.16
2948.50,85.17
2948.00,85.18
2947.50,85.18
2947.00,85.17
2946.50,85.18
2946.00,85.19
2945.50,85.22
2945.00,85.24
2944.50,85.24
2944.00,85.24
2943.50,85.24
2943.00,85.25
2942.50,85.28
2942.00,85.30
2941.50,85.33
2941.00,85.36
2940.50,85.40
2940.00,85.42
2939.50,85.42
2939.00,85.41
2938.50,85.40
2938.00,85.39
2937.50,85.41
2937.00,85.44
2936.50,85.47
2936.00,85.50
2935.50,85.51
2935.00,85.51
2934.50,85.52
2934.00,85.53
2933.50,85.55
2933.00,85.57
2932.50,85.59
2932.00,85.61
2931.50,85.64
2931.00,85.66
2930.50,85.67
2930.00,85.67
2929.50,85.68
2929.00,85.69
2928.50,85.70
2928.00,85.71
2927.50,85.72
2927.00,85.73
2926.50,85.75
2926.00,85.77
2925.50,85.79
2925.00,85.81
2924.50,85.83
2924.00,85.85
2923.50,85.87
2923.00,85.88
2922.50,85.88
2922.00,85.89
2921.50,85.91
2921.00,85.93
2920.50,85.95
2920.00,85.97
2919.50,85.99
2919.00,86.01
2918.50,86.02
2918.00,86.02
2917.50,86.02
2917.00,86.02
2916.50,86.02
2916.00,86.02
2915.50,86.03
2915.00,86.04
2914.50,86.05
2914.00,86.07
2913.50,86.08
2913.00,86.10
2912.50,86.11
2912.00,86.13
2911.50,86.15
2911.00,86.18
2910.50,86.19
2910.00,86.20
2909.50,86.20
2909.00,86.21
2908.50,86.23
2908.00,86.26
2907.50,86.28
2907.00,86.29
2906.50,86.29
2906.00,86.30
2905.50,86.31
2905.00,86.32
2904.50,86.33
2904.00,86.33
2903.50,86.34
2903.00,86.36
2902.50,86.38
2902.00,86.40
2901.50,86.42
2901.00,86.44
2900.50,86.46
2900.00,86.49
2899.50,86.51
2899.00,86.52
2898.50,86.53
2898.00,86.54
2897.50,86.55
2897.00,86.56
2896.50,86.57
2896.00,86.59
2895.50,86.60
2895.00,86.62
2894.50,86.63
2894.00,86.65
2893.50,86.67
2893.00,86.68
2892.50,86.68
2892.00,86.68
2891.50,86.69
2891.00,86.70
2890.50,86.73
2890.00,86.76
2889.50,86.78
2889.00,86.78
2888.50,86.79
2888.00,86.80
2887.50,86.83
2887.00,86.86
2886.50,86.87
2886.00,86.88
2885.50,86.89
2885.00,86.90
2884.50,86.92
2884.00,86.94
2883.50,86.96
2883.00,86.98
2882.50,87.00
2882.00,87.01
2881.50,87.03
2881.00,87.04
2880.50,87.05
2880.00,87.05
2879.50,87.06
2879.00,87.07
2878.50,87.08
2878.00,87.10
2877.50,87.11
2877.00,87.13
2876.50,87.16
2876.00,87.18
2875.50,87.21
2875.00,87.22
2874.50,87.24
2874.00,87.24
2873.50,87.25
2873.00,87.26
2872.50,87.28
2872.00,87.31
2871.50,87.34
2871.00,87.36
2870.50,87.37
2870.00,87.37
2869.50,87.36
2869.00,87.36
2868.50,87.37
2868.00,87.39
2867.50,87.41
2867.00,87.44
2866.50,87.47
2866.00,87.50
2865.50,87.51
2865.00,87.53
2864.50,87.54
2864.00,87.56
2863.50,87.58
2863.00,87.59
2862.50,87.61
2862.00,87.63
2861.50,87.66
2861.00,87.68
2860.50,87.70
2860.00,87.70
2859.50,87.70
2859.00,87.71
2858.50,87.72
2858.00,87.72
2857.50,87.73
2857.00,87.74
2856.50,87.76
2856.00,87.77
2855.50,87.79
2855.00,87.81
2854.50,87.84
2854.00,87.87
2853.50,87.89
2853.00,87.90
2852.50,87.91
2852.00,87.92
2851.50,87.93
2851.00,87.94
2850.50,87.95
2850.00,87.96
2849.50,87.97
2849.00,87.98
2848.50,87.99
2848.00,88.01
2847.50,88.03
2847.00,88.05
2846.50,88.07
2846.00,88.08
2845.50,88.09
2845.00,88.09
2844.50,88.10
2844.00,88.11
2843.50,88.12
2843.00,88.15
2842.50,88.18
2842.00,88.20
2841.50,88.21
2841.00,88.22
2840.50,88.23
2840.00,88.24
2839.50,88.26
2839.00,88.28
2838.50,88.28
2838.00,88.29
2837.50,88.30
2837.00,88.31
2836.50,88.33
2836.00,88.35
2835.50,88.35
2835.00,88.37
2834.50,88.38
2834.00,88.40
2833.50,88.42
2833.00,88.44
2832.50,88.46
2832.00,88.49
2831.50,88.52
2831.00,88.53
2830.50,88.55
2830.00,88.56
2829.50,88.57
2829.00,88.58
2828.50,88.59
2828.00,88.59
2827.50,88.61
2827.00,88.63
2826.50,88.65
2826.00,88.68
2825.50,88.71
2825.00,88.73
2824.50,88.74
2824.00,88.75
2823.50,88.76
2823.00,88.78
2822.50,88.80
2822.00,88.81
2821.50,88.81
2821.00,88.82
2820.50,88.83
2820.00,88.84
2819.50,88.85
2819.00,88.86
2818.50,88.87
2818.00,88.90
2817.50,88.92
2817.00,88.94
2816.50,88.95
2816.00,88.96
2815.50,88.98
2815.00,88.99
2814.50,89.01
2814.00,89.02
2813.50,89.03
2813.00,89.05
2812.50,89.06
2812.00,89.07
2811.50,89.09
2811.00,89.10
2810.50,89.11
2810.00,89.12
2809.50,89.13
2809.00,89.15
2808.50,89.16
2808.00,89.19
2807.50,89.22
2807.00,89.24
2806.50,89.27
2806.00,89.29
2805.50,89.30
2805.00,89.32
2804.50,89.32
2804.00,89.33
2803.50,89.33
2803.00,89.34
2802.50,89.35
2802.00,89.36
2801.50,89.38
2801.00,89.40
2800.50,89.41
2800.00,89.41
2799.50,89.42
2799.00,89.43
2798.50,89.45
2798.00,89.47
2797.50,89.48
2797.00,89.50
2796.50,89.52
2796.00,89.54
2795.50,89.56
2795.00,89.58
2794.50,89.59
2794.00,89.61
2793.50,89.62
2793.00,89.63
2792.50,89.63
2792.00,89.63
2791.50,89.64
2791.00,89.67
2790.50,89.70
2790.00,89.72
2789.50,89.74
2789.00,89.74
2788.50,89.75
2788.00,89.75
2787.50,89.76
2787.00,89.77
2786.50,89.78
2786.00,89.80
2785.50,89.80
2785.00,89.81
2784.50,89.83
2784.00,89.84
2783.50,89.86
2783.00,89.89
2782.50,89.91
2782.00,89.92
2781.50,89.94
2781.00,89.95
2780.50,89.97
2780.00,89.97
2779.50,89.97
2779.00,89.98
2778.50,90.00
2778.00,90.02
2777.50,90.04
2777.00,90.04
2776.50,90.05
2776.00,90.07
2775.50,90.09
2775.00,90.11
2774.50,90.13
2774.00,90.15
2773.50,90.17
2773.00,90.18
2772.50,90.18
2772.00,90.18
2771.50,90.19
2771.00,90.21
2770.50,90.23
2770.00,90.24
2769.50,90.26
2769.00,90.27
2768.50,90.28
2768.00,90.29
2767.50,90.29
2767.00,90.30
2766.50,90.32
2766.00,90.34
2765.50,90.34
2765.00,90.35
2764.50,90.37
2764.00,90.38
2763.50,90.39
2763.00,90.40
2762.50,90.41
2762.00,90.43
2761.50,90.45
2761.00,90.46
2760.50,90.48
2760.00,90.49
2759.50,90.51
2759.00,90.54
2758.50,90.56
2758.00,90.57
2757.50,90.57
2757.00,90.56
2756.50,90.56
2756.00,90.57
2755.50,90.60
2755.00,90.63
2754.50,90.65
2754.00,90.66
2753.50,90.67
2753.00,90.68
2752.50,90.70
2752.00,90.71
2751.50,90.72
2751.00,90.72
2750.50,90.74
2750.00,90.75
2749.50,90.75
2749.00,90.76
2748.50,90.77
2748.00,90.78
2747.50,90.80
2747.00,90.81
2746.50,90.82
2746.00,90.82
2745.50,90.83
2745.00,90.85
2744.50,90.87
2744.00,90.89
2743.50,90.90
2743.00,90.91
2742.50,90.91
2742.00,90.91
2741.50,90.92
2741.00,90.92
2740.50,90.93
2740.00,90.94
2739.50,90.96
2739.00,90.98
2738.50,91.01
2738.00,91.04
2737.50,91.05
2737.00,91.05
2736.50,91.06
2736.00,91.07
2735.50,91.09
2735.00,91.11
2734.50,91.12
2734.00,91.13
2733.50,91.14
2733.00,91.14
2732.50,91.16
2732.00,91.18
2731.50,91.20
2731.00,91.21
2730.50,91.21
2730.00,91.21
2729.50,91.21
2729.00,91.22
2728.50,91.22
2728.00,91.23
2727.50,91.24
2727.00,91.25
2726.50,91.26
2726.00,91.27
2725.50,91.28
2725.00,91.29
2724.50,91.30
2724.00,91.31
2723.50,91.32
2723.00,91.34
2722.50,91.36
2722.00,91.39
2721.50,91.40
2721.00,91.41
2720.50,91.41
2720.00,91.42
2719.50,91.43
2719.00,91.44
2718.50,91.46
2718.00,91.47
2717.50,91.48
2717.00,91.50
2716.50,91.50
2716.00,91.51
2715.50,91.51
2715.00,91.53
2714.50,91.55
2714.00,91.56
2713.50,91.57
2713.00,91.57
2712.50,91.57
2712.00,91.57
2711.50,91.58
2711.00,91.60
2710.50,91.61
2710.00,91.61
2709.50,91.62
2709.00,91.62
2708.50,91.64
2708.00,91.65
2707.50,91.66
2707.00,91.67
2706.50,91.67
2706.00,91.67
2705.50,91.68
2705.00,91.70
2704.50,91.73
2704.00,91.76
2703.50,91.77
2703.00,91.77
2702.50,91.76
2702.00,91.75
2701.50,91.74
2701.00,91.75
2700.50,91.76
2700.00,91.78
2699.50,91.80
2699.00,91.82
2698.50,91.83
2698.00,91.84
2697.50,91.84
2697.00,91.84
2696.50,91.84
2696.00,91.85
2695.50,91.86
2695.00,91.87
2694.50,91.89
2694.00,91.90
2693.50,91.91
2693.00,91.93
2692.50,91.94
2692.00,91.95
2691.50,91.96
2691.00,91.97
2690.50,91.97
2690.00,91.98
2689.50,91.98
2689.00,91.97
2688.50,91.96
2688.00,91.96
2687.50,91.97
2687.00,91.98
2686.50,91.99
2686.00,92.00
2685.50,92.02
2685.00,92.04
2684.50,92.06
2684.00,92.08
2683.50,92.09
2683.00,92.10
2682.50,92.11
2682.00,92.11
2681.50,92.10
2681.00,92.10
2680.50,92.10
2680.00,92.11
2679.50,92.12
2679.00,92.12
2678.50,92.13
2678.00,92.13
2677.50,92.13
2677.00,92.14
2676.50,92.15
2676.00,92.17
2675.50,92.18
2675.00,92.19
2674.50,92.20
2674.00,92.21
2673.50,92.21
2673.00,92.21
2672.50,92.22
2672.00,92.22
2671.50,92.23
2671.00,92.24
2670.50,92.25
2670.00,92.25
2669.50,92.26
2669.00,92.26
2668.50,92.27
2668.00,92.27
2667.50,92.27
2667.00,92.26
2666.50,92.26
2666.00,92.27
2665.50,92.27
2665.00,92.28
2664.50,92.27
2664.00,92.27
2663.50,92.26
2663.00,92.26
2662.50,92.27
2662.00,92.28
2661.50,92.28
2661.00,92.28
2660.50,92.29
2660.00,92.29
2659.50,92.30
2659.00,92.31
2658.50,92.32
2658.00,92.31
2657.50,92.31
2657.00,92.32
2656.50,92.34
2656.00,92.35
2655.50,92.35
2655.00,92.33
2654.50,92.33
2654.00,92.33
2653.50,92.35
2653.00,92.36
2652.50,92.37
2652.00,92.37
2651.50,92.36
2651.00,92.36
2650.50,92.36
2650.00,92.36
2649.50,92.37
2649.00,92.38
2648.50,92.40
2648.00,92.41
2647.50,92.42
2647.00,92.43
2646.50,92.42
2646.00,92.41
2645.50,92.40
2645.00,92.40
2644.50,92.40
2644.00,92.40
2643.50,92.40
2643.00,92.40
2642.50,92.40
2642.00,92.41
2641.50,92.41
2641.00,92.42
2640.50,92.43
2640.00,92.44
2639.50,92.45
2639.00,92.45
2638.50,92.44
2638.00,92.44
2637.50,92.44
2637.00,92.44
2636.50,92.44
2636.00,92.44
2635.50,92.44
2635.00,92.44
2634.50,92.44
2634.00,92.46
2633.50,92.47
2633.00,92.48
2632.50,92.48
2632.00,92.48
2631.50,92.47
2631.00,92.46
2630.50,92.46
2630.00,92.46
2629.50,92.48
2629.00,92.50
2628.50,92.52
2628.00,92.52
2627.50,92.50
2627.00,92.49
2626.50,92.49
2626.00,92.49
2625.50,92.49
2625.00,92.49
2624.50,92.49
2624.00,92.49
2623.50,92.50
2623.00,92.52
2622.50,92.54
2622.00,92.55
2621.50,92.54
2621.00,92.53
2620.50,92.52
2620.00,92.52
2619.50,92.54
2619.00,92.55
2618.50,92.56
2618.00,92.56
2617.50,92.55
2617.00,92.56
2616.50,92.56
2616.00,92.58
2615.50,92.59
2615.00,92.60
2614.50,92.60
2614.00,92.59
2613.50,92.57
2613.00,92.56
2612.50,92.56
2612.00,92.56
2611.50,92.57
2611.00,92.58
2610.50,92.59
2610.00,92.60
2609.50,92.61
2609.00,92.60
2608.50,92.59
2608.00,92.58
2607.50,92.57
2607.00,92.58
2606.50,92.59
2606.00,92.60
2605.50,92.60
2605.00,92.60
2604.50,92.60
2604.00,92.59
2603.50,92.58
2603.00,92.57
2602.50,92.57
2602.00,92.58
2601.50,92.59
2601.00,92.60
2600.50,92.60
2600.00,92.59
2599.50,92.60
2599.00,92.61
2598.50,92.62
2598.00,92.62
2597.50,92.61
2597.00,92.59
2596.50,92.58
2596.00,92.57
2595.50,92.58
2595.00,92.60
2594.50,92.62
2594.00,92.62
2593.50,92.62
2593.00,92.61
2592.50,92.61
2592.00,92.60
2591.50,92.59
2591.00,92.58
2590.50,92.57
2590.00,92.57
2589.50,92.57
2589.00,92.58
2588.50,92.60
2588.00,92.61
2587.50,92.61
2587.00,92.61
2586.50,92.62
2586.00,92.63
2585.50,92.63
2585.00,92.61
2584.50,92.60
2584.00,92.59
2583.50,92.59
2583.00,92.60
2582.50,92.62
2582.00,92.64
2581.50,92.66
2581.00,92.66
2580.50,92.66
2580.00,92.63
2579.50,92.59
2579.00,92.56
2578.50,92.55
2578.00,92.55
2577.50,92.55
2577.00,92.54
2576.50,92.55
2576.00,92.56
2575.50,92.56
2575.00,92.57
2574.50,92.57
2574.00,92.57
2573.50,92.56
2573.00,92.55
2572.50,92.55
2572.00,92.55
2571.50,92.56
2571.00,92.56
2570.50,92.56
2570.00,92.56
2569.50,92.58
2569.00,92.59
2568.50,92.61
2568.00,92.62
2567.50,92.63
2567.00,92.62
2566.50,92.60
2566.00,92.57
2565.50,92.56
2565.00,92.56
2564.50,92.57
2564.00,92.58
2563.50,92.59
2563.00,92.60
2562.50,92.62
2562.00,92.62
2561.50,92.62
2561.00,92.60
2560.50,92.58
2560.00,92.56
2559.50,92.54
2559.00,92.54
2558.50,92.55
2558.00,92.57
2557.50,92.59
2557.00,92.61
2556.50,92.63
2556.00,92.63
2555.50,92.62
2555.00,92.59
2554.50,92.57
2554.00,92.54
2553.50,92.53
2553.00,92.52
2552.50,92.53
2552.00,92.54
2551.50,92.55
2551.00,92.55
2550.50,92.54
2550.00,92.52
2549.50,92.51
2549.00,92.51
2548.50,92.52
2548.00,92.52
2547.50,92.52
2547.00,92.51
2546.50,92.50
2546.00,92.50
2545.50,92.49
2545.00,92.48
2544.50,92.47
2544.00,92.45
2543.50,92.43
2543.00,92.42
2542.50,92.42
2542.00,92.44
2541.50,92.48
2541.00,92.50
2540.50,92.51
2540.00,92.49
2539.50,92.48
2539.00,92.47
2538.50,92.47
2538.00,92.48
2537.50,92.48
2537.00,92.47
2536.50,92.46
2536.00,92.44
2535.50,92.43
2535.00,92.42
2534.50,92.43
2534.00,92.43
2533.50,92.43
2533.00,92.44
2532.50,92.45
2532.00,92.48
2531.50,92.49
2531.00,92.48
2530.50,92.46
2530.00,92.45
2529.50,92.44
2529.00,92.45
2528.50,92.46
2528.00,92.46
2527.50,92.46
2527.00,92.46
2526.50,92.45
2526.00,92.44
2525.50,92.44
2525.00,92.43
2524.50,92.42
2524.00,92.42
2523.50,92.42
2523.00,92.41
2522.50,92.40
2522.00,92.40
2521.50,92.40
2521.00,92.41
2520.50,92.43
2520.00,92.44
2519.50,92.44
2519.00,92.42
2518.50,92.41
2518.00,92.41
2517.50,92.43
2517.00,92.47
2516.50,92.49
2516.00,92.50
2515.50,92.48
2515.00,92.45
2514.50,92.43
2514.00,92.43
2513.50,92.44
2513.00,92.44
2512.50,92.44
2512.00,92.45
2511.50,92.45
2511.00,92.45
2510.50,92.44
2510.00,92.43
2509.50,92.42
2509.00,92.42
2508.50,92.43
2508.00,92.43
2507.50,92.44
2507.00,92.45
2506.50,92.46
2506.00,92.46
2505.50,92.45
2505.00,92.43
2504.50,92.42
2504.00,92.40
2503.50,92.40
2503.00,92.41
2502.50,92.43
2502.00,92.44
2501.50,92.45
2501.00,92.44
2500.50,92.43
2500.00,92.42
2499.50,92.42
2499.00,92.43
2498.50,92.44
2498.00,92.45
2497.50,92.47
2497.00,92.48
2496.50,92.48
2496.00,92.48
2495.50,92.46
2495.00,92.45
2494.50,92.43
2494.00,92.41
2493.50,92.40
2493.00,92.39
2492.50,92.40
2492.00,92.43
2491.50,92.45
2491.00,92.46
2490.50,92.45
2490.00,92.44
2489.50,92.43
2489.00,92.43
2488.50,92.44
2488.00,92.44
2487.50,92.45
2487.00,92.45
2486.50,92.45
2486.00,92.45
2485.50,92.45
2485.00,92.46
2484.50,92.47
2484.00,92.48
2483.50,92.50
2483.00,92.51
2482.50,92.50
2482.00,92.50
2481.50,92.49
2481.00,92.49
2480.50,92.48
2480.00,92.47
2479.50,92.45
2479.00,92.44
2478.50,92.44
2478.00,92.46
2477.50,92.47
2477.00,92.48
2476.50,92.48
2476.00,92.48
2475.50,92.49
2475.00,92.50
2474.50,92.52
2474.00,92.53
2473.50,92.53
2473.00,92.53
2472.50,92.54
2472.00,92.55
2471.50,92.57
2471.00,92.59
2470.50,92.60
2470.00,92.59
2469.50,92.57
2469.00,92.55
2468.50,92.55
2468.00,92.56
2467.50,92.57
2467.00,92.58
2466.50,92.57
2466.00,92.56
2465.50,92.56
2465.00,92.57
2464.50,92.57
2464.00,92.57
2463.50,92.56
2463.00,92.57
2462.50,92.57
2462.00,92.58
2461.50,92.59
2461.00,92.59
2460.50,92.59
2460.00,92.60
2459.50,92.59
2459.00,92.59
2458.50,92.59
